iter	Passed	Remaining
0	171	171732
1	181	90565
2	193	64286
3	204	50818
4	214	42663
5	224	37262
6	235	33461
7	246	30580
8	257	28315
9	267	26520
10	278	25015
11	288	23729
12	298	22687
13	310	21844
14	320	21059
15	330	20336
16	340	19710
17	352	19219
18	362	18718
19	372	18269
20	383	17859
21	395	17569
22	405	17235
23	416	16940
24	427	16660
25	437	16398
26	447	16141
27	459	15953
28	469	15723
29	480	15531
30	490	15327
31	500	15141
32	510	14970
33	521	14812
34	531	14659
35	542	14514
36	553	14403
37	563	14262
38	574	14160
39	585	14051
40	595	13933
41	606	13836
42	618	13755
43	628	13660
44	640	13589
45	650	13487
46	660	13399
47	670	13299
48	682	13237
49	692	13153
50	703	13088
51	715	13041
52	725	12961
53	736	12911
54	747	12841
55	759	12795
56	769	12724
57	781	12690
58	791	12623
59	801	12564
60	812	12505
61	823	12451
62	833	12390
63	844	12353
64	854	12291
65	865	12251
66	876	12204
67	886	12148
68	897	12109
69	908	12070
70	919	12024
71	928	11971
72	939	11933
73	950	11893
74	961	11856
75	971	11813
76	982	11778
77	992	11734
78	1003	11696
79	1013	11658
80	1024	11624
81	1034	11581
82	1045	11546
83	1055	11505
84	1065	11473
85	1076	11436
86	1086	11399
87	1095	11357
88	1106	11325
89	1116	11290
90	1127	11260
91	1137	11225
92	1147	11195
93	1157	11160
94	1168	11135
95	1178	11095
96	1188	11063
97	1198	11029
98	1209	11004
99	1219	10977
100	1230	10953
101	1241	10927
102	1251	10898
103	1261	10866
104	1271	10841
105	1281	10809
106	1291	10778
107	1302	10753
108	1312	10725
109	1322	10696
110	1332	10672
111	1344	10656
112	1354	10631
113	1364	10603
114	1374	10577
115	1384	10550
116	1394	10527
117	1404	10498
118	1414	10473
119	1424	10449
120	1435	10426
121	1445	10401
122	1455	10377
123	1466	10358
124	1476	10334
125	1487	10315
126	1497	10292
127	1507	10272
128	1517	10247
129	1528	10227
130	1538	10204
131	1548	10180
132	1557	10156
133	1568	10139
134	1579	10123
135	1591	10109
136	1601	10090
137	1611	10068
138	1621	10044
139	1632	10026
140	1642	10006
141	1653	9990
142	1664	9972
143	1674	9953
144	1684	9932
145	1695	9915
146	1705	9896
147	1716	9881
148	1726	9861
149	1737	9845
150	1747	9827
151	1758	9812
152	1769	9793
153	1779	9776
154	1789	9757
155	1800	9742
156	1811	9725
157	1821	9706
158	1831	9684
159	1841	9666
160	1851	9648
161	1861	9631
162	1872	9612
163	1882	9596
164	1892	9575
165	1903	9561
166	1913	9545
167	1924	9531
168	1935	9516
169	1945	9499
170	1955	9481
171	1965	9460
172	1975	9442
173	1986	9428
174	1995	9408
175	2006	9392
176	2015	9373
177	2026	9359
178	2037	9343
179	2047	9327
180	2058	9313
181	2069	9300
182	2080	9287
183	2090	9269
184	2100	9253
185	2111	9239
186	2121	9225
187	2131	9208
188	2143	9197
189	2153	9181
190	2164	9166
191	2173	9147
192	2184	9132
193	2194	9117
194	2205	9106
195	2216	9091
196	2227	9077
197	2237	9061
198	2247	9045
199	2258	9033
200	2268	9017
201	2278	9000
202	2288	8986
203	2299	8971
204	2310	8958
205	2320	8944
206	2331	8933
207	2342	8918
208	2352	8901
209	2362	8886
210	2372	8872
211	2382	8856
212	2393	8843
213	2403	8826
214	2413	8812
215	2423	8796
216	2433	8782
217	2443	8765
218	2453	8751
219	2464	8736
220	2475	8725
221	2485	8709
222	2495	8694
223	2504	8675
224	2514	8662
225	2525	8647
226	2535	8633
227	2545	8619
228	2556	8606
229	2566	8591
230	2576	8577
231	2586	8561
232	2597	8549
233	2608	8537
234	2618	8524
235	2629	8511
236	2638	8495
237	2648	8480
238	2659	8468
239	2670	8456
240	2679	8440
241	2690	8427
242	2700	8414
243	2711	8400
244	2721	8385
245	2732	8373
246	2742	8360
247	2753	8349
248	2763	8334
249	2773	8321
250	2784	8308
251	2795	8297
252	2804	8281
253	2815	8268
254	2825	8255
255	2836	8243
256	2847	8231
257	2857	8219
258	2866	8202
259	2877	8189
260	2887	8175
261	2898	8163
262	2908	8150
263	2919	8138
264	2928	8122
265	2939	8110
266	2949	8096
267	2960	8085
268	2970	8072
269	2980	8059
270	2991	8046
271	3001	8034
272	3011	8020
273	3022	8008
274	3032	7995
275	3042	7982
276	3052	7967
277	3062	7954
278	3073	7942
279	3083	7929
280	3094	7916
281	3104	7904
282	3114	7890
283	3124	7877
284	3135	7866
285	3145	7853
286	3156	7841
287	3166	7828
288	3176	7814
289	3187	7803
290	3196	7789
291	3208	7778
292	3218	7765
293	3228	7752
294	3237	7737
295	3247	7724
296	3258	7712
297	3268	7700
298	3278	7687
299	3289	7676
300	3300	7663
301	3310	7651
302	3320	7638
303	3330	7625
304	3340	7612
305	3350	7599
306	3360	7586
307	3370	7572
308	3381	7560
309	3391	7548
310	3401	7535
311	3411	7522
312	3421	7509
313	3431	7497
314	3441	7483
315	3451	7472
316	3462	7459
317	3472	7448
318	3482	7435
319	3493	7422
320	3502	7409
321	3513	7396
322	3522	7383
323	3533	7372
324	3543	7359
325	3553	7347
326	3564	7335
327	3575	7325
328	3585	7312
329	3596	7301
330	3606	7289
331	3616	7277
332	3628	7267
333	3639	7256
334	3649	7245
335	3659	7232
336	3670	7220
337	3679	7207
338	3691	7196
339	3701	7184
340	3711	7172
341	3721	7159
342	3731	7147
343	3742	7136
344	3753	7126
345	3763	7113
346	3774	7103
347	3785	7092
348	3797	7083
349	3807	7070
350	3817	7058
351	3827	7046
352	3838	7035
353	3848	7022
354	3859	7012
355	3869	7000
356	3880	6988
357	3890	6976
358	3900	6964
359	3910	6952
360	3921	6941
361	3931	6929
362	3942	6918
363	3953	6907
364	3963	6896
365	3974	6884
366	3985	6873
367	3994	6860
368	4005	6849
369	4016	6838
370	4026	6826
371	4037	6815
372	4047	6803
373	4057	6792
374	4068	6780
375	4078	6768
376	4089	6757
377	4100	6746
378	4110	6734
